county_name,year,population
adams,2010,3976
adams,2011,3981
adams,2012,3908
adams,2013,3863
adams,2014,3883
adams,2015,3891
adams,2016,3941
adams,2017,4127
adams,2018,4234
adams,2019,4294
adams,2020,4379
adams,2021,4625
canyon,2010,188923
canyon,2011,191354
canyon,2012,193734
canyon,2013,198590
canyon,2014,202440
canyon,2015,206842
canyon,2016,211381
canyon,2017,216858
canyon,2018,223236
canyon,2019,229849
canyon,2020,231105
canyon,2021,243115
gem,2010,16719
gem,2011,16692
gem,2012,16630
gem,2013,16569
gem,2014,16646
gem,2015,16685
gem,2016,16959
gem,2017,17311
gem,2018,17587
gem,2019,18112
gem,2020,19123
gem,2021,19792
owyhee,2010,11526
owyhee,2011,11376
owyhee,2012,11409
owyhee,2013,11394
owyhee,2014,11288
owyhee,2015,11288
owyhee,2016,11364
owyhee,2017,11618
owyhee,2018,11669
owyhee,2019,11823
owyhee,2020,11913
owyhee,2021,12336
payette,2010,22623
payette,2011,22547
payette,2012,22675
payette,2013,22550
payette,2014,22754
payette,2015,22790
payette,2016,22888
payette,2017,23163
payette,2018,23507
payette,2019,23951
payette,2020,25386
payette,2021,26350
washington,2010,10198
washington,2011,10136
washington,2012,10030
washington,2013,9916
washington,2014,9955
washington,2015,9891
washington,2016,10032
washington,2017,10051
washington,2018,10115
washington,2019,10194
washington,2020,10500
washington,2021,10898
adams,2022,4625
adams,2023,4625
canyon,2022,243115
canyon,2023,243115
gem,2022,19792
gem,2023,19792
owyhee,2022,12336
owyhee,2023,12336
payette,2022,26350
payette,2023,26350
washington,2022,10898
washington,2023,10898
